kills,time,health,score,movement,rotate,shoot,reward
0,-0.03515009209513664,100,0.0,73,86,13,-3754
0,-0.0036807842552661896,100,0.0,70,74,28,-4000
0,-0.03173110634088516,100,0.0,68,77,24,-4508
1,-0.04206803813576698,100,63.16648864746094,63,72,29,-6028
0,-0.05738047510385513,100,0.0,73,75,26,-8512
0,-0.021317671984434128,100,0.0,82,65,15,-3266
0,-0.009411629289388657,100,0.0,80,69,20,-3250
0,-0.02510450780391693,100,0.0,75,64,25,-4258
0,-0.04693334549665451,100,0.0,79,71,23,-3012
2,-0.04814192280173302,100,175.9527130126953,69,72,20,-2000
1,-0.04588479548692703,100,75.97515869140625,63,76,24,-3762
1,-0.5005673170089722,100,84.165283203125,75,85,18,-1754
0,-0.011567376554012299,100,0.0,73,81,17,-5500
0,-0.009603708982467651,100,0.0,83,70,21,-2504
0,-0.46795618534088135,100,0.0,68,78,25,-5254
1,-0.012465115636587143,100,93.51083374023438,61,81,29,-2012
1,-0.08135074377059937,100,85.08821105957031,76,71,25,-2754
3,-0.011151395738124847,100,258.3755798339844,80,65,24,-516
0,-0.04420976713299751,100,0.0,68,76,27,-5766
0,-0.017444349825382233,100,0.0,76,88,13,-3250
0,-0.015005171298980713,100,0.0,76,79,20,-6250
0,-0.07667195796966553,100,0.0,70,79,23,-7262
1,-0.5034047961235046,100,92.73919677734375,53,87,30,-258
1,-0.00802692025899887,100,93.357421875,65,78,20,-4520
1,-0.026498623192310333,100,83.185302734375,58,75,28,-5778
0,-0.024455208331346512,100,0.0,76,76,18,-3262
0,-0.015424184501171112,100,0.0,74,68,20,-7044
1,-0.04003080353140831,100,89.85033416748047,60,71,29,-6786
2,-0.004190403968095779,100,142.4605255126953,67,86,23,-2754
2,-0.48655325174331665,100,125.72898864746094,54,73,26,-2040
