kills,time,health,score,movement,rotate,shoot,reward
0,-0.7148633599281311,100,0.0,49,58,13,-696
0,-0.31078141927719116,100,0.0,47,48,18,-123
1,-0.3602156937122345,100,76.9262466430664,38,63,11,1637
2,-0.426071435213089,100,166.82168579101562,48,52,18,3296
0,-0.3083955645561218,100,0.0,42,61,11,-902
0,-0.3137774169445038,100,0.0,61,46,10,-628
1,-0.36847150325775146,100,93.27786254882812,54,52,11,1329
0,-0.3353385329246521,100,0.0,44,53,15,-373
0,-1.082454800605774,100,0.0,43,37,10,-724
0,60.0,100,0.0,0,0,1,-4
0,-1.0657594203948975,100,0.0,45,34,11,-800
0,-0.8936102390289307,100,0.0,36,41,10,-788
0,-0.9691342115402222,100,0.0,38,30,16,-537
0,-0.7737168669700623,100,0.0,45,40,7,-193
0,-0.3261116147041321,100,0.0,50,52,14,-650
0,-0.29216912388801575,100,0.0,53,45,13,-837
0,-0.8334969282150269,100,0.0,45,52,11,-243
1,-0.6511963605880737,100,76.54471588134766,49,49,8,1333
0,-0.44519472122192383,100,0.0,53,53,9,-876
1,-0.34190428256988525,100,79.58192443847656,45,49,20,1139
0,-0.49926596879959106,100,0.0,52,47,14,-364
0,-1.1053118705749512,100,0.0,47,46,11,-747
0,-0.9080033898353577,100,0.0,37,33,15,-716
0,-0.6062656044960022,100,0.0,50,42,12,-682
0,-0.4058777689933777,100,0.0,47,55,10,-843
1,-0.25168392062187195,100,73.39610290527344,61,48,8,1227
0,-0.3735235333442688,100,0.0,58,49,11,-358
0,-0.5231326222419739,100,0.0,50,50,14,-736
0,-0.3169809579849243,100,0.0,39,62,11,-732
0,-0.3040252923965454,100,0.0,52,42,19,-324
0,-1.138817310333252,100,0.0,38,45,8,-721
0,-0.9519643783569336,100,0.0,46,30,10,-779
0,-1.2051842212677002,100,0.0,40,38,14,-644
0,-0.9271792769432068,100,0.0,36,43,5,-652
0,-0.9258343577384949,100,0.0,42,37,8,-238
0,-0.915352463722229,100,0.0,43,32,12,-834
0,-0.973202645778656,100,0.0,43,34,7,-746
0,-0.9510918855667114,100,0.0,37,34,14,-860
0,-0.6775311827659607,100,0.0,37,40,9,-664
0,-0.5248966217041016,100,0.0,53,50,13,-629
1,-0.3199017345905304,100,74.99855041503906,52,50,11,1287
0,-0.509319007396698,100,0.0,46,50,15,-185
0,-0.3256682753562927,100,0.0,43,58,12,-820
0,-0.3269898295402527,100,0.0,54,52,8,-716
1,-0.30523401498794556,100,69.08543395996094,53,54,7,1494
3,-0.2851269543170929,100,204.45547485351562,42,57,17,5411
0,-0.3350030183792114,100,0.0,51,51,12,-620
1,-0.44077426195144653,100,95.60954284667969,48,48,17,1245
1,-0.7528548836708069,100,85.83135986328125,50,56,10,1143
0,-0.30726855993270874,100,0.0,53,47,9,-612
0,-0.4337570071220398,100,0.0,41,57,19,-560
0,-0.7036972045898438,100,0.0,41,38,13,-638
0,60.0,100,0.0,0,1,0,-4
0,-1.0064387321472168,100,0.0,38,37,7,-720
1,-0.9494539499282837,100,81.8532943725586,36,37,9,1561
0,-0.9280720353126526,100,0.0,30,47,9,-684
1,-0.9803236722946167,100,92.1881332397461,39,34,10,1655
0,-0.9208395481109619,100,0.0,27,47,14,-696
0,-0.9439599514007568,100,0.0,42,45,3,-592
0,-0.9926984906196594,100,0.0,42,31,14,-604
0,-0.6515500545501709,100,0.0,36,41,10,-812
0,-0.33733928203582764,100,0.0,51,53,14,-763
1,-0.386913001537323,100,51.23493194580078,46,50,18,1350
0,-0.2640548050403595,100,0.0,43,61,10,-564
0,-0.27861741185188293,100,0.0,53,56,9,-871
0,-0.5163629651069641,100,0.0,56,41,16,-752
1,-0.33012840151786804,100,51.056793212890625,53,49,17,1341
0,-0.3631591796875,100,0.0,65,43,10,-229
1,-0.4545985162258148,100,68.08304595947266,47,58,12,1041
0,-0.3071019649505615,100,0.0,49,55,5,-752
0,-0.5075842142105103,100,0.0,47,50,17,-644
0,-0.3609161376953125,100,0.0,46,49,20,-872
0,-0.3204035758972168,100,0.0,48,47,19,-721
0,-0.37135815620422363,100,0.0,53,39,15,-780
1,-0.36349964141845703,100,86.49264526367188,48,48,19,1318
0,-0.6807136535644531,100,0.0,55,50,11,-816
0,-0.41271913051605225,100,0.0,41,64,9,-655
0,-0.514677882194519,100,0.0,35,58,18,-666
0,-0.47825539112091064,100,0.0,45,49,22,-697
1,-0.29415076971054077,100,74.27571868896484,54,47,10,1694
0,-0.43581104278564453,100,0.0,52,46,16,-241
0,-0.7086887359619141,100,0.0,48,42,21,-643
0,-0.2366580069065094,100,0.0,57,49,10,-712
0,-0.4647871255874634,100,0.0,53,47,13,-502
0,-0.29018253087997437,100,0.0,50,47,12,-844
1,-0.4147776663303375,100,53.498374938964844,51,54,7,1391
0,-0.503602147102356,100,0.0,47,42,19,-932
0,-0.4463186264038086,100,0.0,54,49,12,-301
0,-0.2537113130092621,100,0.0,46,57,14,-376
0,-0.3072676956653595,100,0.0,54,47,12,-885
0,-0.4164605736732483,100,0.0,55,49,15,-90
0,-0.24420374631881714,100,0.0,40,59,13,-786
0,-0.4501945972442627,100,0.0,53,50,14,-816
0,-0.3444523811340332,100,0.0,49,56,11,-173
2,-0.42815834283828735,100,185.12474060058594,48,47,18,3155
0,-0.31648415327072144,100,0.0,50,50,13,-393
0,-0.3505110442638397,100,0.0,54,48,9,-944
1,-0.44644778966903687,100,51.14012145996094,52,52,14,1244
2,-0.7182190418243408,100,135.49185180664062,53,46,11,3172
0,-0.335313618183136,100,0.0,50,55,9,-694
