kills,time,health,score,movement,rotate,shoot,reward
0,-0.2962794303894043,100,0,0,0,0,-728
0,-0.622262179851532,100,0,0,0,0,-732
0,-0.652789831161499,100,0,0,0,0,-732
0,-1.018043875694275,100,0,0,0,0,-1220
0,-0.19845522940158844,100,0,0,0,0,-728
0,-0.5940581560134888,100,0,0,0,0,-732
0,-0.6745410561561584,100,0,0,0,0,-732
0,-0.6150104999542236,100,0,0,0,0,-732
0,-0.6000747084617615,100,0,0,0,0,-732
0,-0.6519371271133423,100,0,0,0,0,-732
0,-0.5773481726646423,100,0,0,0,0,-732
0,-0.6154305934906006,100,0,0,0,0,-732
0,-0.6774365901947021,100,0,0,0,0,-732
0,-0.6498544812202454,100,0,0,0,0,-732
0,-0.6125606298446655,100,0,0,0,0,-732
0,-0.6388726234436035,100,0,0,0,0,-732
0,-0.6687914729118347,100,0,0,0,0,-732
0,-0.5872533321380615,100,0,0,0,0,-732
0,-0.6630630493164062,100,0,0,0,0,-732
0,-0.5881832838058472,100,0,0,0,0,-732
0,-0.6546903848648071,100,0,0,0,0,-732
0,-0.6507022380828857,100,0,0,0,0,-732
0,-0.6147294044494629,100,0,0,0,0,-732
0,-0.6213876008987427,100,0,0,0,0,-732
0,-0.6330788135528564,100,0,0,0,0,-732
0,-0.6355941295623779,100,0,0,0,0,-732
0,-0.6276399493217468,100,0,0,0,0,-732
0,-0.6298426389694214,100,0,0,0,0,-732
0,-0.6414542198181152,100,0,0,0,0,-732
0,-0.6509441137313843,100,0,0,0,0,-732
0,-0.6226781606674194,100,0,0,0,0,-732
0,-0.6111438274383545,100,0,0,0,0,-732
0,-0.6973425149917603,100,0,0,0,0,-732
0,-0.6263139843940735,100,0,0,0,0,-732
0,-0.6242429614067078,100,0,0,0,0,-732
0,-0.6144668459892273,100,0,0,0,0,-732
0,-0.6890160441398621,100,0,0,0,0,-732
0,-0.603340744972229,100,0,0,0,0,-732
0,-0.6555052995681763,100,0,0,0,0,-732
0,-0.5986302495002747,100,0,0,0,0,-732
0,-0.6491114497184753,100,0,0,0,0,-732
0,-0.6125443577766418,100,0,0,0,0,-732
0,-0.6142168641090393,100,0,0,0,0,-732
0,-0.6546708941459656,100,0,0,0,0,-732
0,-0.5879849791526794,100,0,0,0,0,-732
0,-0.6622995138168335,100,0,0,0,0,-732
0,-0.6392036080360413,100,0,0,0,0,-732
0,-0.6096211671829224,100,0,0,0,0,-732
0,-0.6161618828773499,100,0,0,0,0,-732
0,-0.6647220849990845,100,0,0,0,0,-732
0,-0.649492084980011,100,0,0,0,0,-732
0,-0.6052942276000977,100,0,0,0,0,-732
0,-0.6169164180755615,100,0,0,0,0,-732
0,-0.6339319944381714,100,0,0,0,0,-732
0,-0.6746363639831543,100,0,0,0,0,-732
0,-0.631184995174408,100,0,0,0,0,-732
0,-0.6350065469741821,100,0,0,0,0,-732
0,-0.6132068037986755,100,0,0,0,0,-732
0,-0.6221325397491455,100,0,0,0,0,-732
0,-0.6186150908470154,100,0,0,0,0,-732
0,-0.6366634368896484,100,0,0,0,0,-732
0,-0.6414483785629272,100,0,0,0,0,-732
0,-0.6491780877113342,100,0,0,0,0,-732
0,-0.6066135168075562,100,0,0,0,0,-732
0,-0.6224826574325562,100,0,0,0,0,-732
0,-0.6671250462532043,100,0,0,0,0,-732
0,-0.6055344343185425,100,0,0,0,0,-732
0,-0.6167864799499512,100,0,0,0,0,-732
0,-0.6379926204681396,100,0,0,0,0,-732
0,-0.6545971632003784,100,0,0,0,0,-732
0,-0.6330186724662781,100,0,0,0,0,-732
0,-0.6430013179779053,100,0,0,0,0,-732
0,-0.6281296014785767,100,0,0,0,0,-732
0,-0.6126297116279602,100,0,0,0,0,-732
0,-0.6805596351623535,100,0,0,0,0,-732
0,-0.5989125967025757,100,0,0,0,0,-732
0,-0.6494041085243225,100,0,0,0,0,-732
0,-0.605635941028595,100,0,0,0,0,-732
0,-0.6528551578521729,100,0,0,0,0,-732
0,-0.6400657892227173,100,0,0,0,0,-732
0,-0.6218963861465454,100,0,0,0,0,-732
0,-0.626727819442749,100,0,0,0,0,-732
0,-0.6356587409973145,100,0,0,0,0,-732
0,-0.6436026692390442,100,0,0,0,0,-732
0,-0.6226987242698669,100,0,0,0,0,-732
0,-0.629990816116333,100,0,0,0,0,-732
0,-0.6325206756591797,100,0,0,0,0,-732
0,-0.6528841257095337,100,0,0,0,0,-732
0,-0.5872756242752075,100,0,0,0,0,-732
0,-0.6673119068145752,100,0,0,0,0,-732
0,-0.6157873272895813,100,0,0,0,0,-732
0,-0.6756334900856018,100,0,0,0,0,-732
0,-0.5975814461708069,100,0,0,0,0,-732
0,-0.6541173458099365,100,0,0,0,0,-732
0,-0.5926964282989502,100,0,0,0,0,-732
0,-0.6503760814666748,100,0,0,0,0,-732
0,-0.6477785706520081,100,0,0,0,0,-732
0,-0.6332743763923645,100,0,0,0,0,-732
0,-0.6576090455055237,100,0,0,0,0,-732
0,-0.6412400007247925,100,0,0,0,0,-732
