kills,time,health,score,movement,rotate,shoot,reward
0,-2.51422286,100,0,86,69,18,-14504
0,-1.921096802,100,0,86,61,23,-11770
0,-0.946364284,100,0,76,69,21,-6512
1,-1.473464251,100,89.53860474,70,78,20,-6516
1,-1.484778166,100,55.54337692,73,78,25,-7754
1,-1.451979876,100,80.78565216,84,66,19,-5504
0,-1.967480063,100,0,78,74,20,-11000
0,-1.005506754,100,0,71,69,21,-9290
1,-1.415216923,100,85.67401123,75,73,25,-6262
0,-1.461903453,100,0,76,72,20,-9020
0,-0.924810529,100,0,79,75,17,-7758
0,-1.05910933,100,0,64,92,16,-8000
0,-1.399636865,100,0,74,78,25,-10250
1,-1.444820166,100,75.67676544,74,71,21,-6770
0,-1.501084089,100,0,78,77,23,-9000
0,-1.438120127,100,0,71,74,25,-9524
0,-0.84306407,100,0,72,75,24,-9508
3,-1.060175061,100,221.7306366,75,83,19,-1258
1,-0.987162292,100,52.84477615,67,78,22,-7012
0,-1.0243752,100,0,76,81,18,-8504
0,-1.392560244,100,0,74,65,25,-10278
0,-0.981714547,100,0,71,71,25,-10274
0,-1.456801653,100,0,68,80,23,-11766
1,-1.064052343,100,85.8497467,83,68,20,-6500
0,-1.467514396,100,0,75,70,25,-10270
1,-0.908606648,100,95.76470947,74,75,24,-7500
0,-1.469479084,100,0,63,81,20,-10282
1,-1.417570591,100,75.63682556,73,73,21,-6794
0,-1.424137712,100,0,80,74,21,-7262
0,-2.096570969,100,0,70,75,24,-13262
1,-0.918331563,100,77.54499054,74,79,20,-6504
0,-1.527016163,100,0,78,78,17,-10270
0,-1.232712507,100,0,64,84,17,-6774
0,-1.01218152,100,0,62,80,20,-8286
1,-1.434871316,100,95.49324036,73,78,22,-4758
0,-1.412139893,100,0,82,69,21,-6258
1,-1.075526595,100,63.25036621,84,71,14,-4270
0,-1.038739085,100,0,79,68,25,-10250
0,-1.049385667,100,0,60,75,26,-10508
0,-2.511151075,100,0,52,96,22,-12766
0,-0.956188977,100,0,78,73,25,-9508
1,-2.021025181,100,89.57808685,80,71,14,-9024
0,-0.998485088,100,0,77,66,25,-8270
0,-1.500953674,100,0,84,73,12,-5512
2,-1.027227521,100,162.4021301,68,79,24,-5012
2,-1.02213943,100,145.7872009,75,69,27,-5008
0,-1.047271371,100,0,79,76,16,-8012
0,-0.914720535,100,0,85,63,24,-10004
0,-1.044950843,100,0,79,73,19,-7258
