kills,time,health,score,movement,rotate,shoot,reward
0,-2.86359024,100,0,78,76,18,-14159
1,-0.980036139,100,85.3540802,76,77,21,-5147
0,-0.874591172,100,0,72,74,18,-8169
0,-1.987989187,100,0,62,80,28,-15374
0,-1.418936491,100,0,73,76,25,-6623
0,-2.039819956,100,0,66,81,19,-13120
1,-0.975301266,100,85.78985596,78,64,24,-7881
1,-1.454841852,100,79.25934601,78,73,22,-6649
2,-1.479337454,100,136.1464996,89,64,18,-3192
0,-0.950246692,100,0,77,75,23,-7862
0,-1.532269001,100,0,85,71,19,-8374
0,-1.528356433,100,0,80,69,14,-8378
0,-1.519835949,100,0,58,81,26,-10640
0,-1.379619956,100,0,67,84,23,-8610
1,-1.998580456,100,66.31333923,65,70,21,-11150
3,-2.001876116,100,173.9900208,75,71,18,-5448
0,-0.989275992,100,0,82,66,24,-10370
0,-0.995781481,100,0,80,70,19,-8402
0,-1.020554781,100,0,78,76,18,-8865
0,-1.083788514,100,0,78,71,19,-9117
0,-1.056891203,100,0,76,70,27,-11108
1,-1.49382925,100,68.33017731,85,60,24,-7882
0,-2.511015892,100,0,67,77,24,-14388
0,-1.492656946,100,0,82,74,11,-6389
0,-1.969465017,100,0,80,75,18,-12870
0,-1.966855168,100,0,81,71,24,-12376
1,-1.910791636,100,76.03048706,77,67,23,-11621
1,-1.377398849,100,75.65125275,77,66,22,-5627
0,-1.501260996,100,0,77,68,25,-12620
0,-0.995554864,100,0,82,68,22,-9858
0,-1.066548944,100,0,72,87,12,-7366
0,-2.013493776,100,0,77,79,16,-10379
0,-0.906045377,100,0,76,80,17,-6362
0,-1.55633831,100,0,66,81,20,-11382
0,-1.042169452,100,0,77,65,25,-10636
1,-1.016509652,100,69.03421021,70,75,23,-7631
0,-0.980474293,100,0,64,84,16,-7639
0,-1.450446367,100,0,77,64,24,-10400
0,-2.989807606,100,0,76,78,21,-17616
0,-0.959003508,100,0,66,90,17,-8629
1,-0.976100028,100,96.87254333,83,64,23,-7632
0,-1.038437605,100,0,76,71,21,-9628
0,-2.486418962,100,0,73,69,22,-15894
2,-1.000791192,100,156.065506,74,69,29,-5898
1,-0.977649271,100,53.90009689,77,70,23,-6911
0,-1.050580025,100,0,59,71,25,-9959
0,-1.001896739,100,0,77,82,10,-6866
0,-1.003173351,100,0,63,82,19,-9152
0,-1.184132934,100,0,85,73,15,-5384
0,-2.181379795,100,0,65,86,25,-14614
0,-0.89543277,100,0,84,65,25,-7858
0,-1.511785388,100,0,71,78,27,-11110
0,-0.967471719,100,0,84,60,24,-8882
0,-1.019495726,100,0,63,92,17,-8620
1,-0.947392166,100,69.66899872,70,87,19,-6632
2,-1.380491138,100,120.3514099,82,65,20,-3665
0,-1.026373863,100,0,66,79,19,-9136
0,-1.362986088,100,0,68,60,21,-9674
0,-0.944626153,100,0,66,93,17,-8611
0,-0.937290967,100,0,73,67,20,-6880
0,-0.951725483,100,0,77,89,13,-5608
0,-1.0074507,100,0,69,78,21,-9640
0,-1.392421007,100,0,68,80,14,-7912
0,-0.968547285,100,0,77,71,24,-10372
0,-1.479596376,100,0,78,56,20,-9380
1,-0.965948582,100,85.78283691,74,87,14,-5399
1,-1.411111593,100,94.30011749,70,78,26,-4146
0,-1.012344956,100,0,79,75,14,-7887
1,-1.429215312,100,66.39382935,81,64,20,-6878
0,-2.684075594,100,0,76,74,17,-14655
0,-2.660166502,100,0,79,67,20,-15374
0,-2.020215273,100,0,73,74,16,-12136
1,-2.174598217,100,65.55860138,83,59,27,-10380
0,-2.152443647,100,0,80,78,15,-10116
0,-3.207352638,100,0,75,73,23,-18120
0,-2.526651621,100,0,72,71,22,-15886
0,-1.623397708,100,0,83,66,16,-10396
0,-3.569387913,100,0,83,77,17,-18609
0,-1.592599392,100,0,73,74,22,-11866
0,-2.613699198,100,0,74,74,17,-14626
0,-1.094561219,100,0,77,77,16,-8358
0,-2.601204157,100,0,86,58,21,-15626
0,-2.645568609,100,0,83,75,14,-13873
0,-2.576917887,100,0,75,62,29,-17628
0,-2.590282679,100,0,82,72,16,-14382
0,-2.624341726,100,0,72,83,17,-14618
2,-2.165691137,100,170.5471802,75,78,20,-8385
0,-3.697786093,100,0,69,77,19,-18382
0,-1.141063213,100,0,70,71,20,-9423
0,-2.133985519,100,0,79,71,17,-9609
0,-2.613221169,100,0,85,64,20,-15366
2,-2.615581989,100,187.8277893,71,79,22,-10891
0,-2.667219162,100,0,89,60,20,-14608
1,-2.63963151,100,66.61347961,85,65,19,-11916
0,-2.104997158,100,0,83,65,18,-10862
0,-2.718964338,100,0,63,88,16,-14390
0,-2.276939154,100,0,68,87,23,-13367
0,-2.694699049,100,0,87,64,13,-13640
0,-2.647781849,100,0,89,61,11,-13111
0,-2.055919886,100,0,69,75,22,-13130
