kills,time,health,score,movement,rotate,shoot,reward
1,-2.724491834640503,100,69.79389190673828,75,69,15,-14010
0,-4.172375679016113,100,0.0,87,66,19,-21112
0,-3.1789631843566895,100,0.0,82,79,10,-14878
2,-2.6071016788482666,100,153.54165649414062,74,78,17,-11782
0,-4.691324234008789,100,0.0,69,75,27,-25112
0,-5.356462478637695,100,0.0,72,82,20,-26808
1,-17.444072723388672,100,89.6294174194336,77,69,21,-71926
0,-2.0969462394714355,100,0.0,80,75,16,-10362
0,-3.660318374633789,100,0.0,82,69,19,-19116
0,-2.148948907852173,100,0.0,63,94,16,-13120
0,-2.089966297149658,100,0.0,80,80,13,-13224
0,-2.640756845474243,100,0.0,78,71,20,-15024
1,-5.666200637817383,100,84.01986694335938,69,63,27,-28748
0,-3.677267074584961,100,0.0,73,81,21,-19866
0,-3.1290111541748047,100,0.0,76,80,15,-16108
0,-2.5451037883758545,100,0.0,65,86,15,-14156
1,-2.738309621810913,100,57.880985260009766,73,72,24,-14516
0,-2.5227344036102295,100,0.0,79,80,10,-13012
0,-2.1852073669433594,100,0.0,71,83,18,-11920
3,-3.1025290489196777,100,245.4879150390625,78,65,23,-11740
0,-4.201181411743164,100,0.0,72,77,19,-20636
0,-2.0679233074188232,100,0.0,83,78,15,-10066
1,-2.6521124839782715,100,66.22712707519531,73,84,17,-12912
2,-2.6125826835632324,100,140.66563415527344,81,72,16,-10474
1,-2.65334153175354,100,90.66792297363281,84,72,14,-12116
0,-2.6608850955963135,100,0.0,79,81,16,-13362
0,-1.0529062747955322,100,0.0,72,76,21,-6920
0,-2.1615960597991943,100,0.0,80,71,19,-9634
0,-2.6903162002563477,100,0.0,69,73,24,-16874
0,-2.577133893966675,100,0.0,69,84,17,-14932
1,-2.5962469577789307,100,74.11639404296875,73,70,16,-13244
0,-2.1647989749908447,100,0.0,83,65,16,-11116
0,-2.2722742557525635,100,0.0,72,62,21,-13164
0,-3.1697187423706055,100,0.0,76,70,22,-17978
0,-2.745110273361206,100,0.0,71,77,22,-12112
0,-3.1897268295288086,100,0.0,75,82,16,-16012
0,-2.6742897033691406,100,0.0,78,77,16,-14366
0,-2.169167995452881,100,0.0,75,70,23,-13358
0,-1.9716768264770508,100,0.0,74,73,21,-13732
1,-2.3290984630584717,100,73.26236724853516,74,80,23,-11960
0,-1.5502467155456543,100,0.0,90,65,20,-11558
0,-2.05318284034729,100,0.0,75,77,13,-11620
0,-2.7927842140197754,100,0.0,65,75,27,-17242
0,-3.1566145420074463,100,0.0,70,78,18,-17162
0,-2.6457111835479736,100,0.0,94,53,25,-17020
0,-2.6309685707092285,100,0.0,81,74,14,-13986
0,-2.132545232772827,100,0.0,78,73,17,-13124
0,-2.6282451152801514,100,0.0,82,63,18,-13394
0,-4.669929027557373,100,0.0,79,74,20,-23370
0,-2.670644521713257,100,0.0,66,83,21,-16778
2,-3.2054407596588135,100,149.70944213867188,75,71,26,-15174
0,-2.1808018684387207,100,0.0,70,73,25,-10674
0,-2.1290738582611084,100,0.0,64,83,20,-11136
0,-2.6662869453430176,100,0.0,67,75,23,-16112
1,-2.637200355529785,100,61.29364776611328,84,74,14,-11824
0,-2.734264612197876,100,0.0,60,88,16,-14390
0,-3.1596615314483643,100,0.0,78,81,19,-17262
1,-3.621922731399536,100,88.34684753417969,70,75,21,-17132
1,-4.612581253051758,100,74.2420425415039,70,68,26,-22478
0,-3.1794371604919434,100,0.0,84,64,24,-18370
0,-2.0947060585021973,100,0.0,81,78,17,-9362
1,-2.111283779144287,100,85.93818664550781,82,63,19,-10766
0,-2.0284688472747803,100,0.0,80,69,18,-8920
0,-2.223402500152588,100,0.0,77,69,19,-10024
3,-2.736872673034668,100,235.25262451171875,94,55,20,-9220
